,0
0,Adiyaman
1,Afyonkarahisar
2,Agri
3,Aksaray
4,Amasya
5,Ankara
6,Antalya
7,Ardahan
8,Artvin
9,Aydin
10,Balikesir
11,Bartın
12,Batman
13,Bayburt
14,Bilecik
15,Bingöl
16,Bitlis
17,Bolu
18,Burdur
19,Bursa
20,Denizli
21,Diyarbakir
22,Düzce
23,Edirne
24,Elazig
25,Erzincan
26,Erzurum
27,Eskisehir
28,Gaziantep
29,Giresun
30,Gümüshane
31,Hakkari
32,Hatay
33,Isparta
34,Istanbul
35,Izmir
36,Iğdir
37,K. Maras
38,Karabük
39,Karaman
40,Kars
41,Kastamonu
42,Kayseri
43,Kilis
44,Kinkkale
45,Kirklareli
46,Kirsehir
47,Kocaeli
48,Konya
49,Kütahya
50,Malatya
51,Manisa
52,Mardin
53,Mersin
54,Mugla
55,Mus
56,Nevsehir
57,Nigde
58,Ordu
59,Osmaniye
60,Rize
61,Sakarya
62,Samsun
63,Sanliurfa
64,Siirt
65,Sinop
66,Sirnak
67,Sivas
68,Tekirdag
69,Tokat
70,Trabzon
71,Tunceli
72,Usak
73,Van
74,Yalova
75,Yozgat
76,Zinguldak
77,Çanakkale
78,Çankiri
79,Çorum
